arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
deeplabv3+,resnet18,zscore,scratch,252,1243,12323025,2.914179518222809,0.06332403334488527,0.9348061669764746,0.8885978152458455,0.024539123599727947,0.05340467296294982,0.9430230026367875,0.8975339522787571,0.028396221380385143
deeplabv3+,resnet18,zscore,other-dataset,252,1243,12323025,2.7527087712287903,0.056994756028859346,0.9413868136110559,0.9008240097487826,0.016620033110181492,0.04976367029156881,0.9479587920135965,0.9071599280556075,0.025319211480636445
deeplabv3+,resnet18,zscore,same-dataset,252,1243,12323025,2.741651198863983,0.05071422484368446,0.9488843080024996,0.9114626618229567,0.016830698941789922,0.05071422484368446,0.9488843080024996,0.9114626618229567,0.016830698941789922
deeplabv3+,resnet34,zscore,scratch,252,1243,22431185,3.952489261627197,0.0697650634117982,0.9246511474695306,0.8702603153710584,0.03483419924501389,0.058345795079334455,0.9391156309377926,0.8927489884515396,0.029814371277415562
deeplabv3+,resnet34,zscore,other-dataset,252,1243,22431185,3.809681279659271,0.052543902327625,0.948328518426332,0.9087795654996594,0.016303495991797673,0.052543902327625,0.948328518426332,0.9087795654996594,0.016303495991797673
deeplabv3+,resnet34,zscore,same-dataset,252,1243,22431185,3.691556169986725,0.042734815921163904,0.9575675632909528,0.9219412776796643,0.017472499183246067,0.042734815921163904,0.9575675632909528,0.9219412776796643,0.017472499183246067
deeplabv3+,vgg11_bn,zscore,scratch,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
deeplabv3+,vgg11_bn,zscore,other-dataset,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
deeplabv3+,vgg11_bn,zscore,same-dataset,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
deeplabv3+,vgg13_bn,zscore,scratch,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
